Character
Baldwin IV
Alexander the Great
Atilla The Hun
Elizabeth Bathory
Charles The Great
Cleopatra
Gilgamesh
Flavius Belisarius
Genghis Khan
Qin Emperor
Hannibal Barca
Leonidas
William I
Siegfried
Theodora
Harald III
El Cid
Empress Wu
Ashoka
Brynhild
Helen Of Troy
Frederick I
Julius Caesar
Hippolyta
Joan of Arc
Merlin
King Arthur
Medb
Ramesses II
Moctezuma I
Peter the Great
Yi Seong-gye
Richard I
Saladin
Arminius
Yoshitsune
Zenobia
Boudica
Abaoji
Amanitore
Isabella of Castile
Edward
Gaius Marius
Sanada Yukimura
Mulan
Robin Hood
William Wallace
Spartacus
Lancelot
John Henry
Bedivere
Pelayo
Samson
Constance
Caenis
Tomoe Gozen
Jebe
Vlasta
John Zizka
Arnold Von Winkelried
Pierre Terrail
Niels Ebbesen
